lag_index,lag_steps,lag_fs,lag_ps,n_time_origins,C1_raw,C2_raw,C1_connected
0,0,0.0,0.0,21,1.0,1.0,1.0
1,1000,50.0,0.05,20,0.8933882791022826,0.7259873221500309,0.8715174266015159
2,2000,100.0,0.1,19,0.8701850547528973,0.680366526490169,0.8447848010285887
3,3000,150.0,0.15,18,0.8442375443604935,0.6313792416453311,0.8154095731550427
4,4000,200.0,0.2,17,0.8188512082149655,0.5878305625456994,0.78735973811343
5,5000,250.0,0.25,16,0.7952366566211044,0.55105338099992,0.7621669265525481
6,6000,300.0,0.3,15,0.7724770420808481,0.51829999996528,0.7385952613619666
7,7000,350.0,0.35,14,0.7496431328826152,0.4871219932207193,0.7156492708512505
8,8000,400.0,0.4,13,0.7269339335388453,0.45753204222857885,0.6935678518538989
9,9000,450.0,0.45,12,0.7041886761578137,0.42993814160650035,0.672011715784276
10,10000,500.0,0.5,11,0.6814104204069117,0.40329095608571625,0.6510815817642738
11,11000,550.0,0.55,10,0.6586793050870695,0.3789871739203319,0.6309816599366417
12,12000,600.0,0.6,9,0.6357035966070597,0.35461934615520085,0.6112720125244102
13,13000,650.0,0.65,8,0.612185766396006,0.3319214228291579,0.5920188001070843
14,14000,700.0,0.7,7,0.5883732895486009,0.30930841564867384,0.573670495435213
15,15000,750.0,0.75,6,0.5640353827483416,0.2875930739279593,0.5558419328620963
16,16000,800.0,0.8,5,0.5391887542320365,0.2663319535908156,0.5394800022911573
17,17000,850.0,0.85,4,0.5123865869909644,0.24413177608463685,0.5228054538124878
18,18000,900.0,0.9,3,0.4829928130443588,0.22185962170454812,0.5065350486435629
19,19000,950.0,0.95,2,0.44767831947086756,0.1964192550741415,0.4913598776583976
20,20000,1000.0,1.0,1,0.3951603537270917,0.15969376221113457,0.47699959715312734
