state,energy_au,energy_eV,energy_cm-1
1,0.115364,3.139,25319.5
2,0.137970,3.754,30281.0
3,0.138365,3.765,30367.6
4,0.138675,3.774,30435.6
5,0.138849,3.778,30473.9
6,0.149916,4.079,32902.7
7,0.152853,4.159,33547.5
8,0.153890,4.188,33774.9
9,0.154030,4.191,33805.6
10,0.154182,4.196,33839.1
11,0.155223,4.224,34067.4
12,0.155771,4.239,34187.7
13,0.156223,4.251,34286.9
14,0.156336,4.254,34311.7
15,0.159541,4.341,35015.2
16,0.163128,4.439,35802.4
17,0.163274,4.443,35834.6
18,0.168174,4.576,36910.0
19,0.168966,4.598,37083.8
20,0.169215,4.605,37138.5
