kappa_ref_ps_inv,gamma_phi_ps_inv,absolute_change_final_PYR5_300_minus_150,absolute_change_steady_PYR5_300_minus_150,absolute_change_PYR4_gateway_300_minus_150
0.1,0.0,7.736606448723049e-07,2.664256012863131e-05,0.0022631384657931797
0.1,1.0,3.4628107293578625e-07,0.0001747790527786286,0.00019965200352944912
0.1,20.0,2.714407988650691e-06,1.4362576482684908e-05,1.6814887734306616e-05
0.1,100.0,0.00022249475059570034,0.0002519190143203398,0.00028326540832945835
1.0,0.0,5.292714719436014e-05,2.664256012863131e-05,0.011468224241726777
1.0,1.0,5.0668708564957816e-05,0.008925802914488135,0.005185461793905999
1.0,20.0,6.646675726516144e-05,0.0005149854901270179,0.0005317428112908695
1.0,100.0,0.0008641829651503813,0.0016052273923628513,0.0018164221477853237
10.0,0.0,0.0015159855354191284,2.664256012863131e-05,0.03601607869601853
10.0,1.0,0.001378841163448814,0.04205174894709085,0.028774555173550875
10.0,20.0,0.0010564062699663784,0.007036317351088672,0.007061335861441975
10.0,100.0,0.004921649256029573,0.010010548716766293,0.01078110415966993
