frame,cluster,role,n_qm_atoms,n_point_charges,point_charge_total,orca_input,qm_xyz,point_charge_file
0,PYR2,site_energy_embedding_pilot,26,100,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR2_embedding/frame000_PYR2_embedding.pc
0,PYR3,site_energy_embedding_pilot,26,76,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR3_embedding/frame000_PYR3_embedding.pc
0,PYR4,site_energy_embedding_pilot,26,88,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR4_embedding/frame000_PYR4_embedding.pc
0,PYR5,site_energy_embedding_pilot,26,120,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame000_PYR5_embedding/frame000_PYR5_embedding.pc
10,PYR2,site_energy_embedding_pilot,26,164,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR2_embedding/frame010_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR2_embedding/frame010_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR2_embedding/frame010_PYR2_embedding.pc
10,PYR3,site_energy_embedding_pilot,26,160,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR3_embedding/frame010_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR3_embedding/frame010_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR3_embedding/frame010_PYR3_embedding.pc
10,PYR4,site_energy_embedding_pilot,26,172,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR4_embedding/frame010_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR4_embedding/frame010_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR4_embedding/frame010_PYR4_embedding.pc
10,PYR5,site_energy_embedding_pilot,26,152,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding.pc
20,PYR2,site_energy_embedding_pilot,26,188,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR2_embedding/frame020_PYR2_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR2_embedding/frame020_PYR2_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR2_embedding/frame020_PYR2_embedding.pc
20,PYR3,site_energy_embedding_pilot,26,168,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR3_embedding/frame020_PYR3_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR3_embedding/frame020_PYR3_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR3_embedding/frame020_PYR3_embedding.pc
20,PYR4,site_energy_embedding_pilot,26,192,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR4_embedding/frame020_PYR4_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR4_embedding/frame020_PYR4_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR4_embedding/frame020_PYR4_embedding.pc
20,PYR5,site_energy_embedding_pilot,26,188,0.0,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR5_embedding/frame020_PYR5_embedding.inp,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR5_embedding/frame020_PYR5_embedding_qm.xyz,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR5_embedding/frame020_PYR5_embedding.pc
