frame,time_ps,mean_PYR2_PYR4_eV,PYR5_eV,PYR5_redshift_vs_PYR2_PYR4_eV,PYR5_redshift_vs_PYR2_PYR4_meV,frame_min_eV,frame_max_eV,diagonal_spread_eV,diagonal_spread_meV
0,0.0,4.0040000000000004,3.779,0.22500000000000053,225.00000000000054,3.779,4.013,0.23399999999999999,234.0
1,5.0,4.007000000000001,3.756,0.2510000000000008,251.00000000000077,3.756,4.017,0.26100000000000056,261.00000000000057
2,10.0,4.014333333333333,3.779,0.23533333333333317,235.33333333333317,3.779,4.021,0.242,242.0
3,15.0,4.012666666666666,3.75,0.26266666666666616,262.6666666666662,3.75,4.019,0.26900000000000013,269.0000000000001
4,20.0,4.017666666666667,3.761,0.2566666666666668,256.6666666666668,3.761,4.024,0.2629999999999999,262.9999999999999
5,25.0,4.011666666666667,3.797,0.21466666666666656,214.66666666666657,3.797,4.034,0.23699999999999966,236.99999999999966
6,30.0,4.021,3.776,0.2450000000000001,245.0000000000001,3.776,4.029,0.2530000000000001,253.0000000000001
7,35.0,4.0,3.79,0.20999999999999996,209.99999999999997,3.79,4.02,0.22999999999999954,229.99999999999955
8,40.0,4.007,3.793,0.21399999999999952,213.99999999999952,3.793,4.02,0.22699999999999942,226.99999999999943
9,45.0,4.012666666666667,3.75,0.26266666666666705,262.666666666667,3.75,4.019,0.26900000000000013,269.0000000000001
10,50.0,4.004666666666666,3.791,0.21366666666666623,213.66666666666623,3.791,4.02,0.22899999999999965,228.99999999999966
11,55.0,4.001,3.787,0.2140000000000004,214.0000000000004,3.787,4.016,0.2290000000000001,229.00000000000009
12,60.0,4.013,3.797,0.21599999999999975,215.99999999999974,3.797,4.035,0.238,238.0
13,65.0,4.018999999999999,3.783,0.23599999999999932,235.99999999999932,3.783,4.031,0.24799999999999978,247.99999999999977
14,70.0,3.9996666666666667,3.785,0.21466666666666656,214.66666666666657,3.785,4.014,0.2290000000000001,229.00000000000009
15,75.0,4.014,3.797,0.21700000000000008,217.00000000000009,3.797,4.026,0.22899999999999965,228.99999999999966
16,80.0,4.001666666666666,3.787,0.21466666666666612,214.66666666666612,3.787,4.021,0.23399999999999999,234.0
17,85.0,4.011333333333333,3.756,0.2553333333333332,255.3333333333332,3.756,4.023,0.2669999999999999,266.9999999999999
18,90.0,4.016666666666667,3.753,0.2636666666666665,263.6666666666665,3.753,4.022,0.26900000000000013,269.0000000000001
19,95.0,4.0023333333333335,3.781,0.22133333333333338,221.33333333333337,3.781,4.009,0.2280000000000002,228.0000000000002
20,100.0,4.008666666666667,3.768,0.2406666666666668,240.6666666666668,3.768,4.016,0.24800000000000022,248.00000000000023
