frame,cluster,direct_rmsd_vs_same_cluster_first_frame_A,kabsch_rmsd_vs_frame000_PYR2_all_atoms_A,kabsch_rmsd_vs_frame000_PYR2_heavy_atoms_A,distance_matrix_rms_vs_frame000_PYR2_A,distance_matrix_max_abs_vs_frame000_PYR2_A,carbon_planarity_rmsd_A
0,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
0,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
0,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
0,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
1,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
1,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
1,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
1,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
2,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
2,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
2,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
2,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
3,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
3,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
3,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
3,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
4,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
4,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
4,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
4,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
5,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
5,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
5,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
5,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
6,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
6,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
6,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
6,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
7,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
7,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
7,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
7,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
8,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
8,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
8,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
8,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
9,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
9,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
9,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
9,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
10,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
10,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
10,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
10,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
11,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
11,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
11,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
11,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
12,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
12,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
12,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
12,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
13,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
13,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
13,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
13,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
14,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
14,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
14,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
14,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
15,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
15,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
15,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
15,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
16,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
16,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
16,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
16,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
17,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
17,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
17,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
17,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
18,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
18,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
18,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
18,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
19,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
19,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
19,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
19,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
20,PYR2,0.0,1.4069277866290928e-15,1.0338533508188215e-15,0.0,0.0,0.0025976940373159253
20,PYR3,0.0,0.006806661156407456,0.0073518946243663645,0.006354365248087398,0.01453658539460534,0.0028829499566981887
20,PYR4,0.0,0.008359950553607087,0.008185884861857479,0.006836574510877342,0.014919160950888077,0.0027744501257226323
20,PYR5,0.0,0.10192624397267407,0.0904789512760102,0.12422928869707991,0.30805851789018135,0.009318183312224997
