frame,PYR2,PYR3,PYR4,PYR5
0,4.068,4.079,4.09,3.779
1,4.083,4.065,4.089,3.756
2,4.094,4.086,4.093,3.779
3,4.104,4.071,4.097,3.75
4,4.101,4.095,4.087,3.761
5,4.068,4.052,4.089,3.797
6,4.081,4.096,4.092,3.776
7,4.103,4.07,4.093,3.79
8,4.079,4.073,4.092,3.793
9,4.094,4.075,4.08,3.75
10,4.079,4.065,4.099,3.791
11,4.098,4.071,4.09,3.787
12,4.079,4.086,4.104,3.797
13,4.103,4.074,4.102,3.783
14,4.092,4.096,4.069,3.785
15,4.099,4.087,4.095,3.797
16,4.095,4.073,4.088,3.787
17,4.09,4.091,4.095,3.756
18,4.087,4.089,4.088,3.753
19,4.085,4.079,4.088,3.781
20,4.078,4.066,4.083,3.768
